theta,dL,kappa
-2.44643657809078,1.9865943419986587,0.0014807061331308217
-2.443495015664538,1.9873286092478193,0.0017903248521243835
-2.439937051866062,1.987882757247976,0.0017163923299005554
-2.4365250651487784,1.9882559498546548,0.0016431840766531081
-2.433257994631665,1.9884452402180346,0.0015706461649858255
-2.4301348507408305,1.9884478198791218,0.001498723944407272
-2.4271547163809717,1.9882610160065484,0.0014273620425134974
-2.424316748076113,1.9878822887785934,0.0013565044740811369
-2.421620176857437,1.9873092293355332,0.001286094384279309
-2.419064309617761,1.9865395570667295,0.001216074317593837
-2.4166485298815266,1.9855711180686402,0.0011463761827281377
-2.4143723184426586,1.9844019012973184,0.0009967748526861831
-2.412394316529822,1.9831800360531002,0.0005719926045075809
-2.411259952215792,1.982413987078912,8.700607462697126e-05
-2.4110874701564904,1.9822074895324113,-0.00039846835018263774
-2.4118773171045644,1.9825595567364316,-0.0008831981189266392
-2.413628309975735,1.9834747065646012,-0.0013659407771545462
-2.4163376189578876,1.9849629434484197,-0.001845431012684313
-2.4200007311327583,1.9870397170848326,-0.0023203686825895
-2.4246113958633457,1.9897258568601133,-0.0027894082809518154
-2.430161553645298,1.993047480913375,-0.005131891518707235
-2.4403896571089834,1.9947365659257905,-0.02459693306500627
-2.489454058903405,1.976725736589162,-0.05507684234686277
-2.5983258706605676,1.9451534882013206,-0.08818725498072084
-2.7698636173013043,1.9386797684535086,-0.11257208778772587
-2.9881048463880533,1.9732634857714577,3.05903347116206
3.048174204011815,1.9752514368957237,-0.1342843960306816
2.7829287577994024,1.9799585642056117,-0.10796791524704114
2.5691567593464897,1.9886566906832381,-0.08435610748465541
2.401401421797051,1.9648277763659117,-0.06821262461067686
2.267375362263104,1.9658048971004851,-0.04995991230692539
2.169163921991389,1.9846857067523633,-0.03175822727825888
2.106133822240404,2.0011147170978627,-0.015380528894027764
2.0753556195138008,2.00304066063856,-0.008558403768938811
2.0582127887744455,1.996943872663974,-0.008980126282295291
2.040279980619258,1.9920230551437659,-0.009593878669600275
2.021168753121153,1.9886849935733917,-0.010185123147317687
2.000913751560375,1.9870585911837253,-0.01074727454818458
1.9795582873375839,1.9872774559061743,-0.011254807558696768
1.9571918620056121,1.9892829689967855,-0.011581650750547779
1.934152681414667,1.9916009556186238,-0.011839889341694266
1.910572346487318,1.9935373904018194,-0.012111283248999193
1.8864280504846789,1.995168148651969,-0.012395177971078614
1.861697586199898,1.9965792094745218,-0.01269018976264921
1.8363606171554934,1.9978615262727806,-0.012994706508076215
1.8103989929777884,1.999111087300439,-0.013302863976540624
1.7838050901094231,2.000355030342866,-0.013582895366338962
1.7566344770367326,2.0009389768694654,-0.013871581930701635
1.7288782880807396,2.0005155168002213,-0.014197857115589569
1.700475254615676,1.9991807903775536,-0.014561279880969098
1.671364623594317,1.9970470635947568,-0.014960853224791478
1.64148709559286,1.9942376684612446,-0.015395259945516373
1.6107852882937432,1.990887515511602,-0.01592265033362759
1.5790850825306515,1.9871803730831874,-0.017545414515644484
1.5442191791675364,1.9840972624724866,-0.02008319754716631
1.5043721618924895,1.9831176628430822,-0.022587511062044194
1.4595784697456635,1.9854415868404904,-0.023772412131485048
1.412379734080278,1.9916266687309954,-0.019967464240817738
1.3726119997913129,1.9984015131486752,-0.015016684027747996
1.3426026357077707,2.002884507271583,-0.010427683722020993
1.3217171895341964,2.003610522293274,-0.008111538583570513
1.3054648254761585,2.0023888738432083,-0.007141037343454724
1.2911656917519188,2.000642647389168,-0.0062003752324259614
1.2787609566321056,1.9982376470764684,-0.005599908530641527
1.2675710085859875,1.9954505016799835,-0.005528081474583829
1.2565399956341958,1.9928792109279871,-0.0055002391144602664
1.2455786834478495,1.9905739946937964,-0.005601760048494469
