x,y
-1521.1729430955602,105920.75885476079
-1521.1923433952034,105920.73699382553
-1521.2115631087217,105920.72621843126
-1521.230963406153,105920.70435749507
-1521.2501831196714,105920.69358210219
-1521.2694028333062,105920.68280670792
-1521.2888031309703,105920.66094577173
-1521.2985032798024,105920.6500153034
-1521.3179035799112,105920.62815436721
-1521.3371232937789,105920.61737897387
-1521.3565235916176,105920.59551803814
-1521.3852628704626,105920.58489771886
-1521.3951436060015,105920.56288170954
-1521.4143633175408,105920.55210631527
-1521.4337636181153,105920.53024538094
-1521.452983332274,105920.51946998574
-1521.4723836305202,105920.49760905001
-1521.491603344737,105920.48683365667
-1521.510823061457,105920.4760582638
-1521.5302233574912,105920.4541973276
-1521.5494430742692,105920.44342193473
-1521.559323807829,105920.42140592495
-1521.5785435222788,105920.41063053254
-1521.5979438209906,105920.38876959682
-1521.6171635355568,105920.37799420301
-1521.636563834385,105920.35613326682
-1521.6557835515123,105920.34535787487
-1521.6751838505734,105920.32349693915
-1521.6944035653141,105920.31272154581
-1521.713623280055,105920.30194615386
-1521.7330235793488,105920.28008521767
-1521.7524238786427,105920.25822428195
-1521.7716435960028,105920.24744888907
-1521.7910438954132,105920.22558795474
-1521.8102636105032,105920.2148125614
-1521.8296639100881,105920.19295162614
-1521.8488836252363,105920.1821762328
-1521.868283924996,105920.16031529848
-1521.8875036427053,105920.14953990607
-1521.897203792585,105920.13860944007
-1521.9166040925193,105920.11674850294
-1521.935823807842,105920.105973111
-1521.955224107951,105920.08411217574
-1521.974443825835,105920.0733367838
-1521.9938441236736,105920.05147584854
-1522.0130638416158,105920.04070045613
-1522.0324641419575,105920.01883952133
-1522.0516838576877,105920.00806412892
-1522.0710841581458,105919.98620319413
-1522.0903038763208,105919.97542780219
-1522.119223742513,105919.95372194145
-1522.138624043204,105919.93186100898
-1522.157843759167,105919.92108561518
-1522.1677244944149,105919.89906960679
-1522.1869442104362,105919.88829421438
-1522.2063445138047,105919.86643328005
-1522.225564227614,105919.85565788671
-1522.244964531099,105919.83379695332
-1522.2641842473531,105919.82302155998
-1522.283584548626,105919.80116062751
-1522.3028042649385,105919.79038523417
-1522.3222045687144,105919.76852430077
-1522.3414242828148,105919.75774890836
-1522.3608245867072,105919.7358879745
-1522.3800443033106,105919.72511258302
-1522.3994446049328,105919.70325164963
-1522.4186643216526,105919.69247625675
-1522.438064625836,105919.67061532382
-1522.4574649253045,105919.64875438856
-1522.4766846445273,105919.63797899708
-1522.5056045124074,105919.6162731382
-1522.5250048145535,105919.59441220434
-1522.5442245315644,105919.58363681193
-1522.563624833827,105919.561775879
-1522.5828445533407,105919.55100048753
-1522.6022448557778,105919.52913955413
-1522.6214645729633,105919.51836416358
-1522.6408648755169,105919.49650322879
-1522.6697847465402,105919.47479737084
-1522.6890044639586,105919.46402197983
-1522.7084047666285,105919.4421610455
-1522.7276244841632,105919.43138565356
-1522.7470247870078,105919.4095247211
-1522.766425090027,105919.38766378816
-1522.7856448100647,105919.37688839575
-1522.8050451132003,105919.35502746282
-1522.824264831026,105919.34425207181
-1522.8531847004779,105919.32254621433
-1522.8725850038463,105919.30068528093
-1522.891804721672,105919.28990989039
-1522.9112050276017,105919.26804895699
-1522.9401248975191,105919.24634309951
-1522.9595252012368,105919.22448216518
-1522.9787449192954,105919.21370677557
-1522.9981452231295,105919.19184584217
-1523.0270650957827,105919.17013998376
-1523.0462848141324,105919.15936459461
-1523.0656851181993,105919.13750366075
-1523.0850854223245,105919.11564272875
-1523.1043051407905,105919.10486733774
-1523.1332250138512,105919.08316148072
-1523.1526253182674,105919.0613005478
-1523.1720256228,105919.03943961486
-1523.2007649078732,105919.0288193007
-1523.2201652125805,105919.00695836777
-1523.2395655172877,105918.98509743577
-1523.2683048050385,105918.97447712114
-1523.2877051099204,105918.95261618821
-1523.3071054149186,105918.93075525574
-1523.326505719917,105918.90889432328
-1523.3554255915806,105918.88718846766
-1523.3843454658054,105918.86548261065
-1523.403745771153,105918.84362167818
-1523.4324850570993,105918.83300136356
-1523.4518853649497,105918.81114043249
-1523.4712856680853,105918.78927950049
-1523.500205542834,105918.76757364394
-1523.519605848589,105918.74571271148
-1523.5485257210676,105918.72400685493
-1523.5677454432007,105918.71323146624
-1523.596665315912,105918.69152560923
-1523.6160656219581,105918.66966467863
-1523.6354659281205,105918.6478037457
-1523.6643858011812,105918.62609789008
-1523.683786109963,105918.60423695901
-1523.7127059831982,105918.58253110247
-1523.7319257033523,105918.57175571332
-1523.7608455768786,105918.55004985817
-1523.789765450405,105918.52834400209
-1523.8091657571495,105918.50648307195
-1523.8380856334115,105918.4847772154
-1523.8670055073453,105918.46307136072
-1523.8864058143226,105918.44121042965
-1523.915325690934,105918.4195045745
-1523.9347259957576,105918.39764364343
-1523.9636458725436,105918.37593778921
-1523.9925657470012,105918.35423193267
-1524.0119660545606,105918.3323710016
-1524.040885929251,105918.31066514738
-1524.0602862393716,105918.28880421678
-1524.089206114295,105918.26709836256
-1524.1181259893347,105918.24539250648
-1524.1375262972433,105918.22353157494
-1524.1664461725159,105918.20182572119
-1524.1953660503495,105918.1801198665
-1524.2147663586657,105918.15825893683
-1524.2436862342292,105918.13655308262
