s,x,y
132.0,-1622.249910921055,105859.6552832707
134.0,-1623.5095258106508,105861.18516590193
136.0,-1624.584914279607,105862.85168730457
138.0,-1625.544405160579,105864.59654095523
140.0,-1626.4673689028616,105866.36479524722
142.0,-1627.387185122423,105868.1336426135
144.0,-1628.3117727298375,105869.89805867574
146.0,-1629.248780891965,105871.65320745982
148.0,-1630.2058587756665,105873.39425299165
150.0,-1631.1905064333278,105875.11650855186
152.0,-1632.2032654961022,105876.82225239128
154.0,-1633.2349022866088,105878.5235472691
156.0,-1634.2734513091978,105880.23318961044
158.0,-1635.2840868199785,105881.96397584036
160.0,-1636.2174112678763,105883.7287023823
162.0,-1637.034499640962,105885.53708211416
164.0,-1637.738226758348,105887.38679049448
166.0,-1638.3416659392656,105889.27256604137
168.0,-1638.8578905029472,105891.18914727276
170.0,-1639.299983460271,105893.13126918238
172.0,-1639.69670749163,105895.08796502944
174.0,-1640.1243765619859,105897.03097658588
176.0,-1640.6682848917292,105898.92878005528
178.0,-1641.4132204580706,105900.74979979508
180.0,-1642.4060777028756,105902.45857935057
182.0,-1643.6302285759573,105904.01315670194
184.0,-1645.0629801441864,105905.37094870309
186.0,-1646.6806188486469,105906.49154449458
188.0,-1648.4498688189176,105907.35488551678
190.0,-1650.3322271262848,105907.9520384129
192.0,-1652.2891377150675,105908.27418290112
194.0,-1654.2800251067817,105908.3124690092
196.0,-1656.2513114568733,105908.05785559905
198.0,-1658.144266744379,105907.50122578358
200.0,-1659.9001480609163,105906.63346248589
202.0,-1661.4673591218198,105905.45662666632
204.0,-1662.8250360631685,105904.0208478759
206.0,-1663.9605742766787,105902.38917397078
208.0,-1664.8619330263732,105900.62436227663
210.0,-1665.5448078873637,105898.77486818562
212.0,-1666.0647080092072,105896.86861764378
214.0,-1666.4802211285728,105894.93194915663
216.0,-1666.8498449880026,105892.99028684574
218.0,-1667.2303907113087,105891.05191797018
220.0,-1667.679702606499,105889.11425740125
222.0,-1668.2854254674953,105887.22544437968
224.0,-1669.1346009401677,105885.45469340305
226.0,-1670.2076250003593,105883.80598266305
228.0,-1671.4493908381983,105882.26145047296
230.0,-1672.8047683601133,105880.80322076169
232.0,-1674.22611911846,105879.41380847504
234.0,-1675.6936077630694,105878.07717970668
236.0,-1677.1938473722332,105876.77763711767
238.0,-1678.713451024241,105875.49948336917
240.0,-1680.23906358691,105874.22705915206
242.0,-1681.7614891367348,105872.94968080311
244.0,-1683.279783438114,105871.66653612266
246.0,-1684.7939750491164,105870.37797666059
248.0,-1686.3040925278112,105869.0843539668
250.0,-1687.8101644322662,105867.78601959115
252.0,-1689.3122193205502,105866.48332508346
254.0,-1690.8102857507317,105865.1766219937
256.0,-1692.304392280879,105863.8662618716
258.0,-1693.7945674690604,105862.55259626715
260.0,-1695.280839873345,105861.23597673017
262.0,-1696.76323809109,105859.91675482696
264.0,-1698.2421128315289,105858.59541741453
266.0,-1699.718917072694,105857.27291431456
268.0,-1701.1953393767358,105855.95029429668
270.0,-1702.6730683058063,105854.62860613066
272.0,-1704.153792422055,105853.30889858611
274.0,-1705.6392002876332,105851.99222043267
276.0,-1707.1309804646924,105850.67962044006
278.0,-1708.6308215153833,105849.37214737796
280.0,-1710.140412001856,105848.07085001597
282.0,-1711.664523672297,105846.7839710071
284.0,-1713.2356010345495,105845.58432082496
286.0,-1714.9007001486739,105844.57880253432
288.0,-1716.7069694578172,105843.87462185619
290.0,-1718.6570349689737,105843.57293777229
292.0,-1720.6236736559474,105843.75719442443
294.0,-1722.4776408500948,105844.45220633727
296.0,-1724.1492738301029,105845.5294243345
298.0,-1725.5999839844587,105846.85456139866
300.0,-1726.8612393439216,105848.36241544057
302.0,-1727.979201767399,105850.00227439008
304.0,-1729.0000331137962,105851.72342617688
306.0,-1729.968346430304,105853.4768631473
308.0,-1730.9036046681906,105855.24125450384
310.0,-1731.8048474262985,105857.01774467921
312.0,-1732.6705237026256,105858.8081280427
314.0,-1733.4990824951724,105860.61419896381
316.0,-1734.2889728019368,105862.43775181197
318.0,-1735.0386383666957,105864.2803717597
320.0,-1735.746480123003,105866.14193948999
322.0,-1736.4108781414045,105868.02150502491
324.0,-1737.030212352292,105869.91811280635
326.0,-1737.6028626860586,105871.83080727619
328.0,-1738.1272090730963,105873.75863287633
330.0,-1738.6016314437984,105875.70063404871
332.0,-1739.0245097285579,105877.65577961969
334.0,-1739.3942238577656,105879.62226589012
336.0,-1739.7091537618164,105881.59783707044
338.0,-1739.9676793711014,105883.58023166838
340.0,-1740.1681806160136,105885.56718819156
342.0,-1740.3090374269464,105887.5564451476
344.0,-1740.388629734292,105889.54574104414
346.0,-1740.4051007984026,105891.53285315452
348.0,-1740.3523753601187,105893.51624972987
350.0,-1740.220745271025,105895.49499407524
352.0,-1740.0003836594658,105897.46816894202
354.0,-1739.686194943522,105899.43485708161
356.0,-1739.2927306210784,105901.39414124546
358.0,-1738.8396412718546,105903.3451041849
360.0,-1738.3457279978861,105905.2868829578
362.0,-1737.8206431990707,105907.21919948366
364.0,-1737.2684645289341,105909.14213206667
366.0,-1736.6931678890082,105911.05576407682
368.0,-1736.0973265120933,105912.96017888411
370.0,-1735.481308998311,105914.85545985855
372.0,-1734.8452906923246,105916.74169037012
374.0,-1734.188953561369,105918.618784029
376.0,-1733.5091308151475,105920.48567425356
378.0,-1732.8016354546248,105922.34094343189
380.0,-1732.0622791818676,105924.18317350502
382.0,-1731.2868736989444,105926.01094641408
384.0,-1730.4712307079235,105927.82284410023
386.0,-1729.6111619108733,105929.61744850456
388.0,-1728.7031196468927,105931.39334156815
390.0,-1727.7480250574772,105933.14910523215
392.0,-1726.748702699269,105934.88332143768
394.0,-1725.7079841696261,105936.59457212585
396.0,-1724.6287010659057,105938.28143923773
398.0,-1723.5136849854664,105939.94250471449
